Date;Sector;Percent change from baseline
2021-06-27;residential;2
2021-06-28;workplaces;-45
2021-06-29;transit stations;-50
2021-06-30;workplaces;-42
2021-07-01;parks;109
2021-07-02;parks;88
2021-07-03;grocery and pharmacy;-5
2021-07-05;parks;67
2021-07-06;grocery and pharmacy;-1
2021-07-06;parks;72
2021-07-06;workplaces;-43
2021-07-09;transit stations;-43
2021-07-10;transit stations;-41
2021-07-10;workplaces;-11
2021-07-12;transit stations;-50
2021-07-13;parks;96
2021-07-14;transit stations;-49
2021-07-15;retail and recreation;-23
2021-07-15;transit stations;-49
2021-07-15;residential;12
2021-07-16;retail and recreation;-28
2021-07-16;transit stations;-45
2021-07-17;workplaces;-9
2021-07-17;residential;1
2021-07-18;parks;94
2021-07-19;workplaces;-48
2021-07-20;retail and recreation;-20
2021-07-21;parks;93
2021-07-21;residential;12
2021-07-23;residential;10
2021-07-24;grocery and pharmacy;-12
2021-07-25;parks;65
2021-07-25;workplaces;0
2021-07-26;grocery and pharmacy;-5
2021-07-28;parks;19
2021-07-29;workplaces;-49
2021-07-31;retail and recreation;-28
2021-07-31;grocery and pharmacy;-7
2021-08-03;retail and recreation;-14
2021-08-04;parks;75
2021-08-04;residential;12
2021-08-05;parks;24
2021-08-06;grocery and pharmacy;-4
2021-08-07;grocery and pharmacy;-12
2021-08-08;retail and recreation;-23
2021-08-11;parks;57
2021-08-15;parks;59
2021-08-15;residential;-1
2021-08-19;transit stations;-47
2021-08-20;residential;10
2021-08-22;workplaces;-5
2021-08-24;residential;11
2021-08-27;grocery and pharmacy;-3
2021-08-27;residential;9
2021-08-30;retail and recreation;-21
2021-09-02;retail and recreation;-15
2021-09-04;grocery and pharmacy;-5
2021-09-05;parks;93
2021-09-06;parks;110
2021-09-07;residential;9
2021-09-08;residential;10
2021-09-10;retail and recreation;-19
2021-09-10;residential;8
2021-09-12;workplaces;-3
2021-09-13;parks;57
2021-09-14;grocery and pharmacy;1
2021-09-14;parks;44
2021-09-14;workplaces;-43
2021-09-15;retail and recreation;-12
2021-09-15;parks;58
2021-09-19;retail and recreation;-9
2021-09-19;transit stations;-9
2021-09-20;workplaces;-45
2021-09-21;transit stations;-36
2021-09-22;retail and recreation;-14
2021-09-25;residential;0
2021-09-26;transit stations;-20
2021-09-30;retail and recreation;-14
2021-09-30;grocery and pharmacy;0
2021-10-01;transit stations;-24
2021-10-05;parks;40
2021-10-05;transit stations;-37
2021-10-12;residential;10
2021-10-13;residential;9
2021-10-14;grocery and pharmacy;0
2021-10-15;grocery and pharmacy;1
2021-10-15;workplaces;-38
2021-10-15;residential;8
2021-10-16;parks;48
2021-10-16;residential;1
2021-10-18;residential;11
2021-10-19;transit stations;-35
2021-10-19;residential;10
2021-10-22;parks;30
2021-10-22;transit stations;-29
2021-10-22;residential;9
2021-10-23;parks;19
2021-10-24;residential;2
2021-10-27;grocery and pharmacy;-1
2021-10-27;residential;11
2021-10-29;retail and recreation;-9
2021-11-01;parks;30
2021-11-02;transit stations;-36
2021-11-02;workplaces;-35
2021-11-07;workplaces;-5
2021-11-08;workplaces;-37
2021-11-10;retail and recreation;-14
2021-11-11;grocery and pharmacy;2
2021-11-11;residential;9
2021-11-13;retail and recreation;-13
2021-11-13;grocery and pharmacy;-2
2021-11-15;transit stations;-36
2021-11-17;retail and recreation;-13
2021-11-17;workplaces;-32
2021-11-17;residential;10
2021-11-18;parks;23
2021-11-20;retail and recreation;-10
2021-11-22;grocery and pharmacy;0
2021-11-22;workplaces;-36
2021-11-23;retail and recreation;-9
2021-11-27;grocery and pharmacy;-7
2021-11-27;transit stations;-20
2021-11-30;workplaces;-32
2021-12-03;grocery and pharmacy;0
2021-12-04;parks;3
2021-12-07;residential;11
2021-12-08;transit stations;-36
2021-12-08;residential;10
2021-12-09;residential;10
2021-12-11;residential;2
2021-12-13;parks;11
2021-12-19;retail and recreation;-15
2021-12-21;grocery and pharmacy;8
2021-12-22;grocery and pharmacy;11
2021-12-22;residential;14
2021-12-28;retail and recreation;-24
2021-12-28;residential;19
2021-12-29;grocery and pharmacy;-14
2021-12-29;parks;-11
2021-12-29;transit stations;-57
2021-12-29;residential;18
2022-01-03;parks;47
2022-01-03;workplaces;-78
2022-01-05;residential;17
2022-01-08;retail and recreation;-36
2022-01-08;parks;-31
2022-01-08;residential;9
2022-01-10;residential;15
2022-01-11;transit stations;-49
2022-01-11;residential;14
2022-01-12;transit stations;-51
2022-01-12;residential;14
2022-01-13;transit stations;-49
2022-01-14;workplaces;-37
2022-01-15;transit stations;-34
2022-01-15;residential;4
2022-01-16;workplaces;0
2022-01-17;transit stations;-48
2022-01-17;residential;13
2022-01-19;retail and recreation;-27
2022-01-20;transit stations;-45
2022-01-22;parks;21
2022-01-22;transit stations;-25
2022-01-22;residential;3
2022-01-24;transit stations;-45
2022-01-25;grocery and pharmacy;-7
2022-01-27;grocery and pharmacy;-6
2022-01-28;transit stations;-35
2022-01-29;workplaces;-8
2022-02-03;workplaces;-34
2022-02-04;grocery and pharmacy;-5
2022-02-05;grocery and pharmacy;-11
2022-02-05;workplaces;-6
2022-02-06;retail and recreation;-17
2022-02-07;retail and recreation;-21
2020-02-15;parks;-48
2020-02-15;residential;3
2020-02-16;residential;1
2020-02-17;grocery and pharmacy;-1
2020-02-17;transit stations;-3
2020-02-21;workplaces;-12
2020-02-22;retail and recreation;-3
2020-02-25;retail and recreation;0
2020-02-27;retail and recreation;6
2020-02-29;grocery and pharmacy;1
2020-02-29;workplaces;0
2020-03-01;residential;-2
2020-03-02;workplaces;0
2020-03-04;retail and recreation;-8
2020-03-04;grocery and pharmacy;0
2020-03-04;transit stations;-5
2020-03-06;residential;0
2020-03-07;retail and recreation;-2
2020-03-09;residential;1
2020-03-12;retail and recreation;-8
2020-03-12;residential;2
2020-03-13;residential;3
2020-03-15;transit stations;-12
2020-03-16;parks;48
2020-03-17;transit stations;-34
2020-03-24;parks;9
2020-03-24;residential;28
2020-03-26;grocery and pharmacy;-32
2020-03-26;parks;21
2020-03-28;transit stations;-80
2020-04-01;retail and recreation;-81
2020-04-02;residential;33
2020-04-03;parks;11
2020-04-10;grocery and pharmacy;-34
2020-04-11;retail and recreation;-87
2020-04-11;transit stations;-78
2020-04-12;retail and recreation;-90
2020-04-13;residential;35
2020-04-15;transit stations;-79
2020-04-15;workplaces;-74
2020-04-17;residential;35
2020-04-18;residential;22
2020-04-22;grocery and pharmacy;-34
2020-04-23;parks;46
2020-04-24;parks;27
2020-04-24;workplaces;-72
2020-04-25;parks;8
2020-04-26;workplaces;-50
2020-04-28;retail and recreation;-80
2020-05-04;workplaces;-71
2020-05-05;residential;30
2020-05-10;transit stations;-77
2020-05-11;parks;23
2020-05-14;grocery and pharmacy;-25
2020-05-16;retail and recreation;-82
2020-05-19;parks;109
2020-05-20;retail and recreation;-74
2020-05-22;transit stations;-74
2020-05-23;grocery and pharmacy;-31
2020-05-27;residential;25
2020-05-30;transit stations;-65
2020-06-02;workplaces;-62
2020-06-03;retail and recreation;-73
2020-06-04;residential;26
2020-06-09;retail and recreation;-67
2020-06-10;workplaces;-61
2020-06-15;transit stations;-64
2020-06-18;grocery and pharmacy;-23
2020-06-24;transit stations;-63
2020-06-26;residential;21
2020-06-27;retail and recreation;-71
2020-06-28;retail and recreation;-67
2020-07-03;residential;22
2020-07-04;workplaces;-22
2020-07-05;parks;67
2020-07-05;workplaces;-18
2020-07-06;retail and recreation;-48
2020-07-09;parks;43
2020-07-10;residential;17
2020-07-11;parks;119
2020-07-12;retail and recreation;-53
2020-07-13;transit stations;-59
2020-07-13;residential;18
2020-07-14;grocery and pharmacy;-17
2020-07-16;parks;125
2020-07-18;grocery and pharmacy;-23
2020-07-19;transit stations;-50
2020-07-19;residential;3
2020-07-25;parks;-6
2020-07-26;workplaces;-12
2020-07-26;residential;3
2020-07-27;workplaces;-60
2020-07-28;transit stations;-59
2020-07-29;retail and recreation;-38
2020-07-30;parks;154
2020-08-01;parks;80
2020-08-01;transit stations;-46
2020-08-03;parks;87
2020-08-09;parks;94
2020-08-12;parks;71
2020-08-13;parks;57
2020-08-14;grocery and pharmacy;-22
2020-08-15;workplaces;-19
2020-08-19;retail and recreation;-32
2020-08-20;transit stations;-57
2020-08-27;workplaces;-55
2020-08-29;retail and recreation;-40
2020-08-31;workplaces;-75
2020-09-01;workplaces;-54
2020-09-02;grocery and pharmacy;-18
2020-09-03;workplaces;-52
2020-09-06;retail and recreation;-35
2020-09-07;transit stations;-50
2020-09-08;grocery and pharmacy;-15
2020-09-10;residential;12
2020-09-12;workplaces;-11
2020-09-12;residential;2
2020-09-13;transit stations;-36
2020-09-13;residential;0
2020-09-17;residential;12
2020-09-19;grocery and pharmacy;-17
2020-09-19;transit stations;-41
2020-09-20;retail and recreation;-32
2020-09-23;grocery and pharmacy;-16
2020-09-25;residential;12
2020-09-26;grocery and pharmacy;-13
2020-09-29;retail and recreation;-26
2020-09-30;parks;-22
2020-09-30;workplaces;-44
2020-10-02;workplaces;-42
2020-10-03;grocery and pharmacy;-16
2020-10-03;residential;8
2020-10-07;parks;18
2020-10-07;residential;14
2020-10-08;transit stations;-51
2020-10-09;grocery and pharmacy;-12
2020-10-09;residential;13
2020-10-13;retail and recreation;-30
2020-10-15;transit stations;-51
2020-10-16;parks;30
2020-10-16;workplaces;-41
2020-10-17;grocery and pharmacy;-13
2020-10-19;residential;14
2020-10-20;retail and recreation;-33
2020-10-20;parks;12
2020-10-20;workplaces;-43
2020-10-21;transit stations;-54
2020-10-22;parks;37
2020-10-24;residential;7
2020-10-26;grocery and pharmacy;-14
2020-10-26;residential;15
2020-10-29;residential;17
2020-10-30;retail and recreation;-32
2020-10-31;workplaces;-9
2020-11-02;residential;14
2020-11-03;grocery and pharmacy;-5
2020-11-09;grocery and pharmacy;-22
2020-11-09;parks;26
2020-11-13;parks;35
2020-11-14;retail and recreation;-74
2020-11-14;residential;17
2020-11-15;retail and recreation;-67
2020-11-16;transit stations;-64
2020-11-17;workplaces;-50
2020-11-18;parks;-6
2020-11-18;workplaces;-50
2020-11-24;workplaces;-49
2020-11-26;residential;21
2020-11-28;grocery and pharmacy;-19
2020-11-30;workplaces;-48
2020-11-30;residential;19
2020-12-01;residential;19
2020-12-03;residential;19
2020-12-04;residential;19
2020-12-05;parks;7
2020-12-05;transit stations;-55
2020-12-05;residential;11
2020-12-06;retail and recreation;-50
2020-12-06;workplaces;-17
2020-12-08;retail and recreation;-41
2020-12-08;workplaces;-43
2020-12-09;transit stations;-56
2020-12-09;workplaces;-42
2020-12-10;grocery and pharmacy;-10
2020-12-10;transit stations;-58
2020-12-11;retail and recreation;-50
2020-12-13;retail and recreation;-58
2020-12-15;residential;17
2020-12-16;residential;19
2020-12-17;retail and recreation;-43
2020-12-17;workplaces;-44
2020-12-18;workplaces;-47
2020-12-20;retail and recreation;-44
2020-12-20;parks;23
2020-12-21;workplaces;-55
2020-12-23;residential;19
2020-12-24;grocery and pharmacy;4
2020-12-24;workplaces;-66
2020-12-27;residential;9
2020-12-29;parks;16
2020-12-30;workplaces;-67
2021-01-04;grocery and pharmacy;-20
2021-01-04;workplaces;-53
2021-01-06;transit stations;-72
2021-01-08;transit stations;-72
2021-01-09;transit stations;-73
2021-01-10;grocery and pharmacy;-27
2021-01-10;residential;13
2021-01-12;residential;25
2021-01-13;parks;-16
2021-01-15;parks;23
2021-01-16;parks;20
2021-01-18;workplaces;-59
2021-01-21;workplaces;-59
2021-01-23;grocery and pharmacy;-23
2021-01-23;transit stations;-70
2021-01-27;retail and recreation;-69
2021-01-27;parks;-12
2021-01-27;transit stations;-74
2021-01-27;residential;25
2021-01-28;retail and recreation;-68
2021-01-30;parks;-3
2021-02-03;transit stations;-72
2021-02-05;grocery and pharmacy;-17
2021-02-05;transit stations;-71
2021-02-06;workplaces;-31
2021-02-07;parks;25
2021-02-08;parks;18
2021-02-11;parks;15
2021-02-14;transit stations;-75
2021-02-15;retail and recreation;-61
2021-02-19;parks;20
2021-02-21;workplaces;-27
2021-02-26;workplaces;-54
2021-02-27;transit stations;-66
2021-03-01;grocery and pharmacy;-16
2021-03-01;parks;55
2021-03-04;residential;23
2021-03-06;grocery and pharmacy;-12
2021-03-06;parks;80
2021-03-07;transit stations;-67
2021-03-08;residential;20
2021-03-12;parks;46
2021-03-14;retail and recreation;-65
2021-03-14;residential;10
2021-03-18;transit stations;-63
2021-03-21;workplaces;-22
2021-03-25;retail and recreation;-58
2021-03-25;parks;89
2021-03-26;transit stations;-61
2021-03-27;transit stations;-66
2021-03-29;retail and recreation;-54
2021-03-31;transit stations;-59
2021-04-05;parks;123
2021-04-06;workplaces;-57
2021-04-10;retail and recreation;-68
2021-04-11;grocery and pharmacy;-9
2021-04-11;residential;8
2021-04-13;transit stations;-55
2021-04-14;workplaces;-54
2021-04-17;parks;139
2021-04-18;retail and recreation;-40
2021-04-20;residential;14
2021-04-21;transit stations;-54
2021-04-23;retail and recreation;-37
2021-04-23;grocery and pharmacy;3
2021-04-23;transit stations;-47
2021-04-24;workplaces;-18
2021-04-24;residential;3
2021-04-26;workplaces;-45
2021-04-27;workplaces;-45
2021-04-28;transit stations;-57
2021-04-30;grocery and pharmacy;3
2021-05-04;parks;64
2021-05-06;workplaces;-43
2021-05-07;retail and recreation;-38
2021-05-08;workplaces;-19
2021-05-11;residential;15
2021-05-13;workplaces;-46
2021-05-14;grocery and pharmacy;1
2021-05-16;grocery and pharmacy;-5
2021-05-19;retail and recreation;-28
2021-05-22;residential;2
2021-05-23;retail and recreation;-37
2021-05-23;grocery and pharmacy;-12
2021-05-25;parks;49
2021-05-25;transit stations;-49
2021-05-25;residential;13
2021-05-26;workplaces;-40
2021-05-28;grocery and pharmacy;3
2021-05-28;workplaces;-41
2021-06-01;parks;169
2021-06-01;transit stations;-46
2021-06-03;residential;12
2021-06-04;parks;145
2021-06-08;transit stations;-45
2021-06-09;parks;74
2021-06-13;parks;119
2021-06-17;retail and recreation;-24
2021-06-17;parks;84
2021-06-18;grocery and pharmacy;0
2021-06-19;grocery and pharmacy;-6
2021-06-20;grocery and pharmacy;-7
2021-06-20;transit stations;-37
2021-06-21;workplaces;-44
2021-06-22;parks;91
2021-06-24;parks;95
2021-06-25;grocery and pharmacy;1
2021-06-25;parks;67
2021-06-26;retail and recreation;-32
2021-06-27;parks;36
2021-06-29;retail and recreation;-24
2021-06-29;workplaces;-43
2021-07-03;retail and recreation;-34
2021-07-03;workplaces;-10
2021-07-04;grocery and pharmacy;-6
2021-07-04;transit stations;-32
2021-07-05;retail and recreation;-25
2021-07-08;parks;98
2021-07-12;retail and recreation;-30
2021-07-13;workplaces;-44
2021-07-14;parks;87
2021-07-16;workplaces;-43
2021-07-17;transit stations;-40
2021-07-19;residential;12
2021-07-20;transit stations;-50
2021-07-21;workplaces;-46
2021-07-22;grocery and pharmacy;3
2021-07-22;workplaces;-49
2021-07-24;workplaces;-10
2021-07-26;transit stations;-50
2021-07-26;workplaces;-52
2021-07-27;parks;51
2021-07-27;workplaces;-50
2021-07-29;grocery and pharmacy;0
2021-07-30;grocery and pharmacy;-5
2021-07-30;transit stations;-45
2021-08-01;parks;51
2021-08-02;parks;52
2021-08-07;parks;14
2021-08-07;transit stations;-42
2021-08-08;parks;29
2021-08-08;transit stations;-44
2021-08-08;workplaces;-5
2021-08-09;parks;71
2021-08-10;grocery and pharmacy;1
2021-08-11;transit stations;-52
2021-08-12;retail and recreation;-17
2021-08-12;workplaces;-50
2021-08-12;residential;12
2021-08-14;parks;72
2021-08-14;workplaces;-12
2021-08-15;workplaces;-4
2021-08-18;workplaces;-49
2021-08-21;grocery and pharmacy;-15
2021-08-23;residential;11
2021-08-24;retail and recreation;-11
2021-08-24;transit stations;-46
2021-08-26;retail and recreation;-12
2021-08-26;grocery and pharmacy;1
2021-08-27;parks;47
2021-08-28;retail and recreation;-30
2021-08-28;grocery and pharmacy;-11
2021-08-28;parks;47
2021-08-30;parks;67
2021-08-31;retail and recreation;-12
2021-08-31;workplaces;-51
2021-09-07;transit stations;-38
2021-09-09;grocery and pharmacy;-3
2021-09-09;workplaces;-43
2021-09-11;grocery and pharmacy;-5
2021-09-15;workplaces;-42
2021-09-16;transit stations;-36
2021-09-19;grocery and pharmacy;3
2021-09-22;parks;46
2021-09-23;grocery and pharmacy;3
2021-09-23;parks;70
2021-09-25;parks;76
2021-09-26;residential;0
2021-09-27;transit stations;-37
2021-09-27;workplaces;-43
2021-09-28;transit stations;-38
2021-09-30;residential;10
2021-10-02;parks;-22
2021-10-02;workplaces;-12
2021-10-02;residential;3
2021-10-03;grocery and pharmacy;-6
2021-10-04;retail and recreation;-15
2021-10-04;workplaces;-42
2021-10-05;residential;10
2021-10-06;parks;36
2021-10-07;grocery and pharmacy;0
2021-10-09;retail and recreation;-17
2021-10-10;transit stations;-11
2021-10-11;grocery and pharmacy;-2
2021-10-11;transit stations;-36
2021-10-12;parks;47
2021-10-14;transit stations;-34
2021-10-15;transit stations;-29
2021-10-16;retail and recreation;-16
2021-10-16;transit stations;-19
2021-10-17;transit stations;-16
2021-10-18;transit stations;-37
2021-10-20;parks;10
2021-10-21;residential;9
2021-10-22;retail and recreation;-13
2021-10-22;grocery and pharmacy;0
2021-10-22;workplaces;-39
2021-10-23;grocery and pharmacy;-5
2021-10-25;retail and recreation;-9
2021-10-25;grocery and pharmacy;-2
2021-10-25;residential;11
2021-10-26;retail and recreation;-5
2021-10-28;workplaces;-44
2021-10-29;residential;9
2021-10-30;retail and recreation;-18
2021-10-30;workplaces;-12
2021-11-01;retail and recreation;-15
2021-11-01;transit stations;-33
2021-11-02;grocery and pharmacy;3
2021-11-04;transit stations;-33
2021-11-05;residential;8
2021-11-06;grocery and pharmacy;-3
2021-11-11;parks;31
2021-11-12;residential;10
2021-11-13;transit stations;-16
2021-11-14;workplaces;-2
2021-11-14;residential;1
2021-11-15;grocery and pharmacy;0
2021-11-16;parks;26
2021-11-17;parks;14
2021-11-17;transit stations;-33
2021-11-18;transit stations;-32
2021-11-18;residential;9
2021-11-19;grocery and pharmacy;1
2021-11-20;parks;13
2021-11-20;residential;2
2021-11-21;parks;27
2021-11-21;residential;1
2021-11-22;parks;24
2021-11-22;transit stations;-35
2021-11-22;residential;11
2021-11-23;grocery and pharmacy;0
2021-11-26;retail and recreation;-4
2021-11-27;parks;-19
2021-11-27;workplaces;-8
2021-11-28;retail and recreation;-6
2021-11-28;residential;1
2021-11-29;grocery and pharmacy;0
2021-11-30;parks;5
2021-12-01;retail and recreation;-11
2021-12-01;workplaces;-32
2021-12-02;residential;10
2021-12-03;transit stations;-26
2021-12-04;grocery and pharmacy;-1
2021-12-05;transit stations;-16
2021-12-07;retail and recreation;-9
2021-12-09;grocery and pharmacy;1
2021-12-10;retail and recreation;-6
2021-12-10;workplaces;-32
2021-12-11;retail and recreation;-14
2021-12-13;transit stations;-38
2021-12-14;retail and recreation;-5
2021-12-14;parks;7
2021-12-15;transit stations;-40
2021-12-16;transit stations;-39
2021-12-19;workplaces;-1
2021-12-20;grocery and pharmacy;3
2021-12-21;parks;17
2021-12-26;grocery and pharmacy;-58
2021-12-28;parks;14
2021-12-28;workplaces;-80
2021-12-30;transit stations;-55
2021-12-31;transit stations;-55
2022-01-01;parks;-2
2022-01-03;grocery and pharmacy;-16
2022-01-06;grocery and pharmacy;-14
2022-01-10;retail and recreation;-28
2022-01-14;retail and recreation;-26
2022-01-16;retail and recreation;-23
2022-01-18;workplaces;-38
2022-01-20;parks;28
2022-01-23;residential;3
2022-01-24;retail and recreation;-24
2022-01-25;parks;17
2022-01-26;transit stations;-44
2022-01-27;workplaces;-35
2022-01-28;grocery and pharmacy;-6
2022-01-28;workplaces;-35
2022-01-29;grocery and pharmacy;-10
2022-01-30;parks;53
2022-01-31;parks;27
2022-02-01;grocery and pharmacy;-4
2022-02-02;parks;20
2022-02-03;residential;11
2022-02-04;parks;19
2022-02-05;parks;7
2022-02-06;parks;9
2022-02-06;transit stations;-25
2020-02-16;retail and recreation;-7
2020-02-18;workplaces;-9
2020-02-18;residential;2
2020-02-20;workplaces;-10
2020-02-22;grocery and pharmacy;-5
2020-02-22;parks;-8
2020-02-25;parks;-3
2020-02-26;grocery and pharmacy;-2
2020-02-29;retail and recreation;1
2020-02-29;residential;0
2020-03-01;retail and recreation;9
2020-03-01;grocery and pharmacy;4
2020-03-04;workplaces;0
2020-03-05;parks;-3
2020-03-05;residential;1
2020-03-06;grocery and pharmacy;4
2020-03-07;grocery and pharmacy;0
2020-03-10;grocery and pharmacy;3
2020-03-12;grocery and pharmacy;11
2020-03-12;transit stations;-7
2020-03-16;retail and recreation;-12
2020-03-16;transit stations;-18
2020-03-18;workplaces;-33
2020-03-18;residential;15
2020-03-19;retail and recreation;-39
2020-03-19;grocery and pharmacy;18
2020-03-19;workplaces;-39
2020-03-20;workplaces;-41
2020-03-22;retail and recreation;-68
2020-03-23;grocery and pharmacy;-17
2020-03-23;residential;21
2020-03-24;transit stations;-73
2020-03-25;grocery and pharmacy;-30
2020-03-26;retail and recreation;-79
2020-03-26;residential;32
2020-03-27;retail and recreation;-82
2020-03-28;retail and recreation;-88
2020-03-28;workplaces;-59
2020-03-28;residential;22
2020-03-29;retail and recreation;-87
2020-03-29;grocery and pharmacy;-47
2020-03-29;parks;-25
2020-03-30;grocery and pharmacy;-39
2020-03-31;residential;31
2020-04-02;parks;1
2020-04-02;workplaces;-75
2020-04-05;transit stations;-78
2020-04-05;residential;18
2020-04-06;grocery and pharmacy;-36
2020-04-07;parks;22
2020-04-07;residential;31
2020-04-08;residential;32
2020-04-09;transit stations;-79
2020-04-12;parks;0
2020-04-14;transit stations;-79
2020-04-15;grocery and pharmacy;-32
2020-04-16;retail and recreation;-80
2020-04-16;residential;32
2020-04-17;transit stations;-83
2020-04-18;retail and recreation;-88
2020-04-18;parks;-44
2020-04-22;workplaces;-73
2020-04-23;grocery and pharmacy;-30
2020-04-25;retail and recreation;-84
2020-04-26;parks;35
2020-04-29;parks;-20
2020-04-29;transit stations;-81
2020-04-30;grocery and pharmacy;-33
2020-05-02;retail and recreation;-85
2020-05-05;retail and recreation;-78
2020-05-05;transit stations;-78
2020-05-06;retail and recreation;-79
2020-05-10;retail and recreation;-86
2020-05-11;grocery and pharmacy;-32
2020-05-11;residential;29
2020-05-12;grocery and pharmacy;-28
2020-05-13;parks;15
2020-05-14;parks;86
2020-05-15;residential;29
2020-05-17;retail and recreation;-80
2020-05-17;grocery and pharmacy;-32
2020-05-23;transit stations;-74
2020-05-24;parks;118
2020-05-25;retail and recreation;-74
2020-05-25;residential;26
2020-05-30;retail and recreation;-80
2020-06-03;transit stations;-74
2020-06-05;residential;25
2020-06-06;parks;17
2020-06-06;workplaces;-34
2020-06-08;parks;109
2020-06-08;residential;23
2020-06-09;workplaces;-61
2020-06-10;retail and recreation;-71
2020-06-11;grocery and pharmacy;-23
2020-06-12;transit stations;-72
2020-06-13;retail and recreation;-75
2020-06-13;grocery and pharmacy;-23
2020-06-13;transit stations;-63
2020-06-15;grocery and pharmacy;-20
2020-06-19;grocery and pharmacy;-15
2020-06-19;residential;23
2020-06-20;transit stations;-56
2020-06-21;grocery and pharmacy;-22
2020-06-22;grocery and pharmacy;-19
2020-06-22;parks;146
2020-06-22;transit stations;-63
2020-06-25;grocery and pharmacy;-10
2020-06-26;transit stations;-62
2020-06-28;parks;44
2020-06-29;transit stations;-65
2020-06-30;residential;21
2020-07-02;workplaces;-57
2020-07-03;grocery and pharmacy;-18
2020-07-03;workplaces;-56
2020-07-04;grocery and pharmacy;-22
2020-07-04;transit stations;-53
2020-07-08;grocery and pharmacy;-21
2020-07-09;retail and recreation;-52
2020-07-11;grocery and pharmacy;-18
2020-07-11;residential;5
2020-07-13;retail and recreation;-48
2020-07-14;parks;80
2020-07-15;transit stations;-61
2020-07-17;parks;115
2020-07-18;workplaces;-17
2020-07-19;grocery and pharmacy;-22
2020-07-20;parks;149
2020-07-20;transit stations;-56
2020-07-23;retail and recreation;-42
2020-07-24;transit stations;-57
2020-07-25;transit stations;-53
2020-07-26;grocery and pharmacy;-24
2020-07-30;retail and recreation;-36
2020-07-31;transit stations;-55
2020-08-03;workplaces;-59
2020-08-09;retail and recreation;-43
2020-08-09;residential;0
2020-08-10;residential;14
2020-08-12;retail and recreation;-31
2020-08-13;retail and recreation;-38
2020-08-21;workplaces;-55
2020-08-22;workplaces;-17
2020-08-23;grocery and pharmacy;-24
2020-08-24;workplaces;-56
2020-08-26;workplaces;-53
2020-08-30;retail and recreation;-28
2020-09-01;grocery and pharmacy;-12
2020-09-01;transit stations;-52
2020-09-02;workplaces;-52
2020-09-05;grocery and pharmacy;-18
2020-09-08;transit stations;-51
2020-09-11;parks;46
2020-09-12;retail and recreation;-38
2020-09-14;parks;130
2020-09-14;workplaces;-47
2020-09-17;workplaces;-46
2020-09-19;residential;3
2020-09-20;transit stations;-35
2020-09-21;grocery and pharmacy;-14
2020-09-21;transit stations;-47
2020-09-21;residential;11
2020-09-23;retail and recreation;-36
2020-09-24;transit stations;-52
2020-09-24;workplaces;-46
2020-09-25;retail and recreation;-33
2020-09-25;workplaces;-45
2020-09-28;retail and recreation;-30
2020-09-28;grocery and pharmacy;-13
2020-09-29;grocery and pharmacy;-10
2020-09-29;workplaces;-44
2020-09-30;grocery and pharmacy;-16
2020-09-30;residential;15
2020-10-02;residential;15
2020-10-04;retail and recreation;-40
2020-10-04;transit stations;-47
2020-10-05;retail and recreation;-32
2020-10-06;transit stations;-51
2020-10-06;workplaces;-44
2020-10-07;retail and recreation;-34
2020-10-08;retail and recreation;-32
2020-10-09;retail and recreation;-35
2020-10-10;grocery and pharmacy;-14
2020-10-10;transit stations;-44
2020-10-11;parks;60
2020-10-13;parks;38
2020-10-13;residential;14
2020-10-14;grocery and pharmacy;-14
2020-10-17;parks;29
2020-10-18;retail and recreation;-33
2020-10-19;parks;36
2020-10-20;residential;15
2020-10-21;retail and recreation;-38
2020-10-24;grocery and pharmacy;-17
2020-10-27;grocery and pharmacy;-13
2020-10-29;transit stations;-54
2020-10-31;grocery and pharmacy;-10
2020-11-01;residential;5
2020-11-02;transit stations;-51
2020-11-02;workplaces;-44
2020-11-03;parks;22
2020-11-03;transit stations;-48
2020-11-04;parks;23
2020-11-06;workplaces;-49
2020-11-08;residential;14
2020-11-10;residential;21
2020-11-12;retail and recreation;-61
2020-11-12;parks;53
2020-11-14;transit stations;-72
2020-11-14;workplaces;-33
2020-11-16;retail and recreation;-61
2020-11-16;parks;15
2020-11-17;retail and recreation;-59
2020-11-17;residential;21
2020-11-19;transit stations;-63
2020-11-19;workplaces;-49
2020-11-20;transit stations;-66
2020-11-20;workplaces;-50
2020-11-21;transit stations;-69
2020-11-22;grocery and pharmacy;-18
2020-11-23;workplaces;-49
2020-11-23;residential;20
2020-11-24;retail and recreation;-57
2020-11-26;workplaces;-48
2020-11-28;residential;14
2020-12-01;grocery and pharmacy;-12
2020-12-04;grocery and pharmacy;-7
2020-12-04;transit stations;-55
2020-12-04;workplaces;-43
2020-12-08;grocery and pharmacy;-9
2020-12-10;residential;18
2020-12-11;workplaces;-42
2020-12-11;residential;18
2020-12-12;retail and recreation;-51
2020-12-12;workplaces;-15
2020-12-13;residential;11
2020-12-14;parks;27
2020-12-14;residential;16
2020-12-17;grocery and pharmacy;-5
2020-12-18;transit stations;-58
2020-12-20;workplaces;-3
2020-12-21;parks;-1
2020-12-21;residential;18
2020-12-22;grocery and pharmacy;9
2020-12-23;parks;-21
2020-12-25;parks;3
2020-12-26;grocery and pharmacy;-68
2020-12-27;retail and recreation;-62
2020-12-27;grocery and pharmacy;-30
2020-12-27;transit stations;-67
2020-12-28;parks;12
2020-12-30;retail and recreation;-49
