Date;Sector;Percent change from baseline
2020-10-23;grocery and pharmacy;-9
2020-10-23;parks;22
2020-10-25;retail and recreation;-29
2020-10-25;transit stations;-43
2020-10-26;workplaces;-52
2020-10-27;parks;13
2020-10-27;transit stations;-54
2020-10-28;grocery and pharmacy;-16
2020-10-31;transit stations;-46
2020-11-03;retail and recreation;-13
2020-11-03;workplaces;-41
2020-11-04;grocery and pharmacy;-7
2020-11-06;retail and recreation;-67
2020-11-06;parks;32
2020-11-06;residential;23
2020-11-07;retail and recreation;-73
2020-11-08;grocery and pharmacy;-24
2020-11-08;parks;20
2020-11-08;workplaces;-34
2020-11-10;grocery and pharmacy;-17
2020-11-10;workplaces;-51
2020-11-11;residential;22
2020-11-12;transit stations;-63
2020-11-13;grocery and pharmacy;-13
2020-11-13;workplaces;-49
2020-11-14;grocery and pharmacy;-24
2020-11-15;workplaces;-31
2020-11-18;transit stations;-65
2020-11-19;retail and recreation;-60
2020-11-19;residential;21
2020-11-20;grocery and pharmacy;-15
2020-11-22;retail and recreation;-64
2020-11-22;parks;67
2020-11-26;transit stations;-63
2020-11-27;transit stations;-64
2020-11-29;parks;42
2020-11-29;residential;12
2020-12-01;parks;43
2020-12-06;parks;28
2020-12-08;parks;24
2020-12-12;parks;41
2020-12-16;workplaces;-43
2020-12-17;transit stations;-56
2020-12-18;grocery and pharmacy;-11
2020-12-20;grocery and pharmacy;-12
2020-12-20;transit stations;-50
2020-12-25;retail and recreation;-93
2020-12-25;grocery and pharmacy;-88
2020-12-27;workplaces;-18
2020-12-30;transit stations;-68
2021-01-01;parks;18
2021-01-03;parks;16
2021-01-04;retail and recreation;-53
2021-01-04;residential;21
2021-01-05;retail and recreation;-64
2021-01-06;grocery and pharmacy;-27
2021-01-08;retail and recreation;-72
2021-01-08;residential;26
2021-01-10;transit stations;-69
2021-01-11;grocery and pharmacy;-30
2021-01-11;transit stations;-73
2021-01-11;workplaces;-57
2021-01-11;residential;24
2021-01-13;retail and recreation;-70
2021-01-16;transit stations;-74
2021-01-24;retail and recreation;-75
2021-01-25;transit stations;-71
2021-01-31;retail and recreation;-72
2021-02-01;retail and recreation;-65
2021-02-02;parks;26
2021-02-04;workplaces;-57
2021-02-08;grocery and pharmacy;-27
2021-02-09;grocery and pharmacy;-22
2021-02-18;residential;24
2021-02-19;residential;26
2021-02-22;transit stations;-69
2021-02-22;residential;22
2021-02-23;retail and recreation;-62
2021-02-23;grocery and pharmacy;-18
2021-02-23;parks;35
2021-02-23;residential;23
2021-02-24;parks;21
2021-02-24;transit stations;-71
2021-02-24;workplaces;-55
2021-03-03;grocery and pharmacy;-18
2021-03-03;transit stations;-72
2021-03-06;transit stations;-70
2021-03-07;grocery and pharmacy;-14
2021-03-08;workplaces;-54
2021-03-09;workplaces;-53
2021-03-11;transit stations;-68
2021-03-13;grocery and pharmacy;-5
2021-03-15;grocery and pharmacy;-14
2021-03-16;transit stations;-63
2021-03-19;workplaces;-49
2021-03-19;residential;20
2021-03-20;grocery and pharmacy;-10
2021-03-20;parks;71
2021-03-20;residential;12
2021-03-22;parks;85
2021-03-26;workplaces;-49
2021-03-28;retail and recreation;-65
2021-03-28;residential;11
2021-03-29;grocery and pharmacy;-7
2021-03-29;transit stations;-59
2021-03-29;workplaces;-49
2021-03-30;transit stations;-57
2021-03-31;parks;118
2021-04-01;parks;100
2021-04-02;parks;172
2021-04-04;parks;136
2021-04-05;grocery and pharmacy;-20
2021-04-05;workplaces;-78
2021-04-08;grocery and pharmacy;-8
2021-04-08;transit stations;-65
2021-04-09;parks;78
2021-04-10;grocery and pharmacy;-12
2021-04-10;parks;60
2021-04-10;transit stations;-64
2021-04-12;parks;108
2021-04-13;retail and recreation;-30
2021-04-13;residential;16
2021-04-16;grocery and pharmacy;-2
2021-04-17;retail and recreation;-45
2021-04-22;transit stations;-52
2021-04-24;retail and recreation;-44
2021-04-24;grocery and pharmacy;0
2021-04-24;transit stations;-42
2021-04-25;transit stations;-43
2021-04-25;residential;4
2021-04-26;grocery and pharmacy;-4
2021-04-26;parks;104
2021-04-27;residential;14
2021-04-30;workplaces;-43
2021-05-01;residential;5
2021-05-03;retail and recreation;-44
2021-05-03;parks;15
2021-05-07;transit stations;-48
2021-05-09;transit stations;-45
2021-05-12;retail and recreation;-38
2021-05-12;parks;46
2021-05-13;parks;31
2021-05-14;parks;80
2021-05-16;workplaces;-13
2021-05-16;residential;6
2021-05-17;retail and recreation;-26
2021-05-18;retail and recreation;-26
2021-05-18;parks;74
2021-05-19;workplaces;-42
2021-05-20;residential;14
2021-05-22;transit stations;-37
2021-05-23;workplaces;-14
2021-05-24;retail and recreation;-31
2021-05-24;parks;48
2021-05-26;parks;68
2021-05-26;residential;12
2021-05-27;grocery and pharmacy;5
2021-05-28;parks;63
2021-05-29;retail and recreation;-32
2021-05-29;grocery and pharmacy;-1
2021-05-29;parks;102
2021-05-30;workplaces;-5
2021-05-31;parks;226
2021-06-03;grocery and pharmacy;2
2021-06-04;retail and recreation;-23
2021-06-05;parks;111
2021-06-07;retail and recreation;-24
2021-06-09;retail and recreation;-24
2021-06-09;transit stations;-47
2021-06-10;workplaces;-39
2021-06-12;parks;126
2021-06-13;transit stations;-30
2021-06-14;retail and recreation;-25
2021-06-15;residential;11
2021-06-18;retail and recreation;-29
2021-06-20;residential;2
2021-06-22;retail and recreation;-20
2021-06-28;transit stations;-49
2021-06-28;residential;12
2021-07-02;retail and recreation;-27
2021-07-02;transit stations;-41
2021-07-04;parks;31
2021-07-04;workplaces;-5
2021-07-06;transit stations;-48
2021-07-08;retail and recreation;-24
2021-07-08;workplaces;-44
2021-07-09;parks;72
2021-07-10;parks;60
2021-07-13;retail and recreation;-23
2021-07-16;residential;10
2021-07-19;parks;117
2021-07-25;residential;1
2021-07-26;residential;12
2021-07-27;retail and recreation;-19
2021-07-28;grocery and pharmacy;-6
2021-07-28;transit stations;-52
2021-07-29;parks;95
2021-07-31;workplaces;-8
2021-08-02;workplaces;-53
2021-08-05;grocery and pharmacy;-5
2021-08-05;workplaces;-50
2021-08-06;residential;11
2021-08-11;residential;12
2021-08-13;grocery and pharmacy;-4
2021-08-14;residential;0
2021-08-15;grocery and pharmacy;-5
2021-08-18;retail and recreation;-19
2021-08-18;grocery and pharmacy;-2
2021-08-19;parks;76
2021-08-20;grocery and pharmacy;-6
2021-08-22;transit stations;-27
2021-08-23;parks;83
2021-08-23;workplaces;-52
2021-08-25;residential;11
2021-08-27;workplaces;-50
2021-08-29;workplaces;-6
2021-08-31;grocery and pharmacy;3
2021-09-01;residential;12
2021-09-02;workplaces;-45
2021-09-03;residential;9
2021-09-05;grocery and pharmacy;-3
2021-09-05;workplaces;-3
2021-09-09;parks;28
2021-09-11;workplaces;-8
2021-09-12;parks;81
2021-09-12;transit stations;-20
2021-09-13;transit stations;-37
2021-09-16;parks;76
2021-09-18;retail and recreation;-23
2021-09-19;residential;-1
2021-09-22;workplaces;-39
2021-09-22;residential;9
2021-09-23;workplaces;-40
2021-09-24;retail and recreation;-13
2021-09-26;retail and recreation;-13
2021-09-28;residential;11
2021-09-29;retail and recreation;-14
2021-09-29;grocery and pharmacy;1
2021-10-01;retail and recreation;-6
2021-10-05;retail and recreation;-10
2021-10-06;retail and recreation;-13
2021-10-06;workplaces;-38
2021-10-07;transit stations;-34
2021-10-07;workplaces;-38
2021-10-08;grocery and pharmacy;-2
2021-10-11;workplaces;-41
2021-10-11;residential;10
2021-10-12;grocery and pharmacy;2
2021-10-15;parks;35
2021-10-18;parks;13
2021-10-19;retail and recreation;-10
2021-10-20;grocery and pharmacy;-3
2021-10-21;retail and recreation;-11
2021-10-26;parks;36
2021-10-27;workplaces;-45
2021-10-31;grocery and pharmacy;2
