count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
26021,2019,1,"South West",144,"Bristol, City of",M5,Major,"Junction 18 M5","merge of feeder roads",352600,178100,51.49983900,-2.68424500,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",0,302,37669,154,8286,2197,646,676,220,482,4476,8697,55108
37935,2019,1,"South West",144,"Bristol, City of",A3029,Major,A4174,A38,358100,170000,51.42744700,-2.60405340,2.30,1.43,Estimated,"Estimated using previous year's AADF on this link",413,241,13839,135,2529,256,20,33,13,23,20,365,17109
46388,2019,1,"South West",144,"Bristol, City of",A37,Major,B3122,A4,360000,171540,51.44143100,-2.57690090,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",485,268,12872,253,2174,193,36,38,29,52,74,421,15988
36409,2019,1,"South West",144,"Bristol, City of",A4044,Major,A420,A4032,359459,173341,51.45758600,-2.58489120,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",2664,642,32434,933,5769,615,99,99,37,178,171,1200,40979
73295,2019,1,"South West",144,"Bristol, City of",A4018,Major,A4162,"LA Boundary",357335,178808,51.50658300,-2.61612210,2.60,1.62,Estimated,"Estimated using previous year's AADF on this link",105,142,19213,143,1932,99,21,14,10,12,8,162,21593
17091,2019,1,"South West",144,"Bristol, City of",A432,Major,A4320,B4469,361300,175000,51.47263100,-2.55857750,1.70,1.06,Estimated,"Estimated using previous year's AADF on this link",340,123,7765,323,1174,48,8,3,2,2,0,63,9448
6401,2019,1,"South West",144,"Bristol, City of",A38,Major,"Parson St","A370 roundabout",358000,171000,51.43643100,-2.60561050,2.40,1.49,Estimated,"Estimated using previous year's AADF on this link",408,138,7801,399,1977,126,21,37,4,4,8,200,10515
17057,2019,1,"South West",144,"Bristol, City of",A420,Major,A431,A4017,364000,173850,51.46247000,-2.51958830,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",162,168,7912,221,1435,135,14,9,7,1,8,174,9909
26384,2019,1,"South West",144,"Bristol, City of",A37,Major,A4174,B3122,360800,170500,51.43213700,-2.56527580,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",154,196,12455,281,2310,251,36,58,26,58,117,547,15789
16124,2019,1,"South West",144,"Bristol, City of",A4,Major,A4162,A4176,355000,176100,51.48205400,-2.64941700,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",405,537,17566,205,3766,521,202,492,76,264,330,1886,23959
74492,2019,1,"South West",144,"Bristol, City of",A370,Major,A38,A4,359400,172050,51.44597400,-2.58559180,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",404,128,8453,120,527,318,86,77,4,16,26,528,9756
