,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
5052,Diesel,37.0,15.353407290015848,34.0,42.0
5053,Diesel,37.0,15.353407290015848,34.0,42.0
5054,Petrol Electric,392.0,22.0,15.0,35.83783783783784
5055,Petrol Electric,392.0,22.0,15.0,35.83783783783784
5056,Diesel,104.0,15.353407290015848,31.0,42.0
5057,Diesel,104.0,15.353407290015848,31.0,42.0
5058,Electricity / Diesel,31.0,0.0,40.0,40.0
5059,Electricity / Diesel,31.0,0.0,40.0,40.0
5060,Electricity / Petrol,234.0,13.0,9.0,35.83783783783784
5061,Electricity / Petrol,234.0,13.0,9.0,35.83783783783784
5062,Petrol,265.0,30.0,33.0,35.83783783783784
5063,Petrol,265.0,30.0,33.0,35.83783783783784
5064,Petrol,461.0,28.0,21.0,35.83783783783784
5065,Petrol,461.0,28.0,21.0,35.83783783783784
5066,Diesel,39.0,15.353407290015848,30.0,40.0
5067,Diesel,39.0,15.353407290015848,30.0,40.0
5068,Petrol Electric,392.0,22.0,15.0,35.83783783783784
5069,Petrol Electric,392.0,22.0,15.0,35.83783783783784
5070,Diesel,104.0,15.353407290015848,31.0,42.0
5071,Diesel,104.0,15.353407290015848,31.0,42.0
5072,Electricity / Diesel,31.0,0.0,40.0,40.0
5073,Electricity / Diesel,31.0,0.0,40.0,40.0
5074,Electricity / Petrol,234.0,13.0,9.0,35.83783783783784
5075,Electricity / Petrol,234.0,13.0,9.0,35.83783783783784
5076,Petrol Electric,215.0,18.0,20.0,35.83783783783784
5077,Petrol Electric,215.0,18.0,20.0,35.83783783783784
5078,Petrol Electric,422.0,21.0,19.0,35.83783783783784
5079,Petrol Electric,422.0,21.0,19.0,35.83783783783784
5080,Electricity / Diesel,31.0,0.0,46.0,50.0
5081,Electricity / Diesel,31.0,0.0,46.0,50.0
5082,Diesel,75.0,15.353407290015848,36.0,54.0
5083,Diesel,75.0,15.353407290015848,36.0,54.0
5084,Petrol Electric,215.0,18.0,20.0,35.83783783783784
5085,Petrol Electric,215.0,18.0,20.0,35.83783783783784
5086,Petrol Electric,422.0,21.0,19.0,35.83783783783784
5087,Petrol Electric,422.0,21.0,19.0,35.83783783783784
5088,Diesel Electric,59.0,15.353407290015848,10.0,22.0
5089,Diesel Electric,59.0,15.353407290015848,10.0,22.0
5090,Electricity / Diesel,31.0,0.0,46.0,50.0
5091,Electricity / Diesel,31.0,0.0,46.0,50.0
5092,Diesel,61.0,15.353407290015848,36.0,53.0
5093,Diesel,61.0,15.353407290015848,36.0,53.0
5094,Petrol Electric,318.0,33.0,19.0,35.83783783783784
5095,Petrol Electric,318.0,33.0,19.0,35.83783783783784
5096,Petrol Electric,370.0,21.0,23.0,35.83783783783784
5097,Petrol Electric,370.0,21.0,23.0,35.83783783783784
5098,Diesel,69.0,15.353407290015848,32.0,50.0
5099,Diesel,69.0,15.353407290015848,32.0,50.0
5100,Petrol Electric,421.0,21.0,21.0,35.83783783783784
5101,Petrol Electric,421.0,21.0,21.0,35.83783783783784
5102,Petrol Electric,221.0,20.0,18.0,35.83783783783784
5103,Petrol Electric,221.0,20.0,18.0,35.83783783783784
5104,Petrol,367.0,52.0,17.0,35.83783783783784
5105,Petrol,367.0,52.0,17.0,35.83783783783784
5106,Diesel,59.0,15.353407290015848,31.0,50.0
5107,Diesel,59.0,15.353407290015848,31.0,50.0
5108,Diesel,59.0,15.353407290015848,31.0,50.0
5109,Diesel,59.0,15.353407290015848,31.0,50.0
5110,Diesel,55.0,15.353407290015848,30.0,48.0
5111,Diesel,55.0,15.353407290015848,30.0,48.0
5112,Petrol Electric,177.0,18.0,24.0,35.83783783783784
5113,Petrol Electric,177.0,18.0,24.0,35.83783783783784
5114,Petrol Electric,177.0,18.0,24.0,35.83783783783784
5115,Petrol Electric,177.0,18.0,24.0,35.83783783783784
5116,Electricity / Petrol,263.0,13.0,9.0,35.83783783783784
5117,Electricity / Petrol,263.0,13.0,9.0,35.83783783783784
5118,Petrol,309.0,23.0,25.0,35.83783783783784
5119,Petrol,309.0,23.0,25.0,35.83783783783784
5120,Petrol,0.0,0.0,0.0,35.83783783783784
5121,Petrol,0.0,0.0,0.0,35.83783783783784
5122,Petrol,0.0,0.0,0.0,35.83783783783784
5123,Petrol,0.0,0.0,0.0,35.83783783783784
5124,Petrol,0.0,0.0,0.0,35.83783783783784
