,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
0,Petrol Electric,385.0,50.0,25.0,43.53448275862069
1,Petrol Electric,385.0,50.0,25.0,43.53448275862069
2,Petrol Electric,382.0,46.0,23.0,43.53448275862069
3,Petrol Electric,382.0,46.0,23.0,43.53448275862069
4,Petrol Electric,297.0,48.0,21.0,43.53448275862069
5,Petrol Electric,297.0,48.0,21.0,43.53448275862069
6,Petrol Electric,338.0,40.0,15.0,43.53448275862069
7,Petrol Electric,338.0,40.0,15.0,43.53448275862069
8,Petrol Electric,309.0,34.0,14.0,43.53448275862069
9,Petrol Electric,309.0,34.0,14.0,43.53448275862069
10,Petrol Electric,228.0,32.0,13.0,43.53448275862069
11,Petrol Electric,228.0,32.0,13.0,43.53448275862069
12,Petrol Electric,332.0,44.0,22.0,43.53448275862069
13,Petrol Electric,332.0,44.0,22.0,43.53448275862069
14,Petrol Electric,377.0,42.0,23.0,43.53448275862069
15,Petrol Electric,377.0,42.0,23.0,43.53448275862069
16,Petrol Electric,389.0,49.0,24.0,43.53448275862069
17,Petrol Electric,389.0,49.0,24.0,43.53448275862069
18,Petrol Electric,362.0,47.0,21.0,43.53448275862069
19,Petrol Electric,362.0,47.0,21.0,43.53448275862069
20,Petrol,659.0,20.0,5.0,0.0
21,Petrol Electric,318.0,39.0,14.0,43.53448275862069
22,Petrol Electric,318.0,39.0,14.0,43.53448275862069
23,Petrol Electric,243.0,38.0,17.0,43.53448275862069
24,Petrol Electric,243.0,38.0,17.0,43.53448275862069
25,Petrol Electric,361.0,40.0,17.0,43.53448275862069
26,Petrol Electric,361.0,40.0,17.0,43.53448275862069
27,Petrol Electric,242.0,43.0,21.0,43.53448275862069
28,Petrol Electric,242.0,43.0,21.0,43.53448275862069
29,Petrol,524.0,21.0,13.0,43.53448275862069
30,Petrol,524.0,21.0,13.0,43.53448275862069
31,Petrol Electric,316.0,38.0,28.0,43.53448275862069
32,Petrol Electric,316.0,38.0,28.0,43.53448275862069
33,Petrol Electric,326.0,35.0,23.0,43.53448275862069
34,Petrol Electric,326.0,35.0,23.0,43.53448275862069
35,Petrol,691.0,52.0,16.0,43.53448275862069
36,Petrol,691.0,52.0,16.0,43.53448275862069
37,Petrol Electric,351.0,51.0,21.0,43.53448275862069
38,Petrol Electric,351.0,51.0,21.0,43.53448275862069
39,Petrol Electric,322.0,39.0,18.0,43.53448275862069
40,Petrol Electric,322.0,39.0,18.0,43.53448275862069
41,Petrol,423.0,34.0,13.0,43.53448275862069
42,Petrol,423.0,34.0,13.0,43.53448275862069
43,Petrol,370.0,26.0,12.0,43.53448275862069
44,Petrol,370.0,26.0,12.0,43.53448275862069
45,Petrol,691.0,52.0,16.0,43.53448275862069
46,Petrol,691.0,52.0,16.0,43.53448275862069
47,Petrol Electric,402.0,37.0,15.0,43.53448275862069
48,Petrol Electric,402.0,37.0,15.0,43.53448275862069
49,Petrol Electric,253.0,40.0,14.0,43.53448275862069
50,Petrol Electric,253.0,40.0,14.0,43.53448275862069
51,Petrol Electric,337.0,43.0,18.0,43.53448275862069
52,Petrol Electric,337.0,43.0,18.0,43.53448275862069
53,Diesel,44.0,25.242424242424242,35.0,39.0
54,Diesel,44.0,25.242424242424242,35.0,39.0
55,Diesel Electric,217.0,25.242424242424242,24.0,57.0
56,Diesel Electric,217.0,25.242424242424242,24.0,57.0
57,Diesel Electric,217.0,25.242424242424242,24.0,57.0
58,Diesel Electric,217.0,25.242424242424242,24.0,57.0
59,Diesel,74.0,25.242424242424242,45.0,50.0
60,Diesel,74.0,25.242424242424242,45.0,50.0
61,Diesel,67.0,25.242424242424242,36.0,44.0
62,Diesel,67.0,25.242424242424242,36.0,44.0
63,Diesel,87.0,25.242424242424242,39.0,48.0
64,Diesel,87.0,25.242424242424242,39.0,48.0
65,Diesel,47.0,25.242424242424242,36.0,41.0
66,Diesel,47.0,25.242424242424242,36.0,41.0
67,Diesel,67.0,25.242424242424242,36.0,45.0
68,Diesel,67.0,25.242424242424242,36.0,45.0
69,Diesel,62.0,25.242424242424242,26.0,42.0
70,Diesel,62.0,25.242424242424242,26.0,42.0
71,Diesel,54.0,25.242424242424242,25.0,32.0
72,Diesel,54.0,25.242424242424242,25.0,32.0
73,Diesel,47.0,25.242424242424242,25.0,33.0
74,Diesel,47.0,25.242424242424242,25.0,33.0
75,Diesel,59.0,25.242424242424242,32.0,36.0
76,Diesel,61.0,25.242424242424242,69.0,76.0
77,Diesel,61.0,25.242424242424242,69.0,76.0
78,Diesel,59.0,25.242424242424242,32.0,36.0
79,Diesel,59.0,25.242424242424242,32.0,36.0
80,Diesel,46.0,25.242424242424242,29.0,34.0
81,Diesel,46.0,25.242424242424242,29.0,34.0
82,Diesel,37.0,25.242424242424242,47.0,52.0
83,Diesel,37.0,25.242424242424242,47.0,52.0
84,Diesel,63.0,25.242424242424242,31.0,38.0
85,Diesel,63.0,25.242424242424242,31.0,38.0
86,Diesel,50.0,25.242424242424242,30.0,34.0
87,Diesel,50.0,25.242424242424242,30.0,34.0
88,Diesel,48.0,25.242424242424242,27.0,34.0
89,Diesel,48.0,25.242424242424242,27.0,34.0
90,Diesel,44.0,25.242424242424242,30.0,35.0
91,Diesel,44.0,25.242424242424242,30.0,35.0
92,Diesel Electric,157.0,0.0,47.0,66.0
93,Diesel Electric,157.0,0.0,47.0,66.0
94,Diesel Electric,153.0,0.0,58.0,77.0
95,Diesel Electric,153.0,0.0,58.0,77.0
96,Diesel Electric,157.0,0.0,47.0,66.0
97,Diesel Electric,157.0,0.0,47.0,66.0
98,Diesel Electric,96.0,0.0,47.0,57.0
99,Diesel Electric,96.0,0.0,47.0,57.0
100,Diesel Electric,114.0,0.0,45.0,54.0
101,Diesel Electric,114.0,0.0,45.0,54.0
102,Diesel Electric,96.0,0.0,47.0,57.0
103,Diesel Electric,96.0,0.0,47.0,57.0
104,Petrol,96.0,14.0,12.0,43.53448275862069
105,Petrol,96.0,14.0,12.0,43.53448275862069
106,Petrol,96.0,14.0,12.0,43.53448275862069
107,Petrol,96.0,14.0,12.0,43.53448275862069
108,Petrol,96.0,14.0,12.0,43.53448275862069
109,Petrol Electric,160.0,14.0,1.0,43.53448275862069
110,Petrol Electric,160.0,14.0,1.0,43.53448275862069
111,Petrol Electric,125.0,11.0,2.0,43.53448275862069
112,Petrol Electric,125.0,11.0,2.0,43.53448275862069
113,Petrol Electric,125.0,11.0,2.0,43.53448275862069
114,Petrol Electric,125.0,11.0,2.0,43.53448275862069
115,Petrol Electric,125.0,11.0,2.0,43.53448275862069
116,Petrol Electric,160.0,14.0,1.0,43.53448275862069
117,Petrol Electric,160.0,14.0,1.0,43.53448275862069
118,Petrol Electric,160.0,14.0,1.0,43.53448275862069
119,Petrol Electric,160.0,14.0,1.0,43.53448275862069
120,Petrol Electric,160.0,14.0,1.0,43.53448275862069
121,Petrol Electric,160.0,14.0,1.0,43.53448275862069
122,Petrol Electric,160.0,14.0,1.0,43.53448275862069
123,Petrol Electric,160.0,14.0,1.0,43.53448275862069
124,Petrol Electric,160.0,14.0,1.0,43.53448275862069
125,Petrol Electric,160.0,14.0,1.0,43.53448275862069
126,Petrol Electric,160.0,14.0,1.0,43.53448275862069
127,Electricity / Petrol,0.0,0.0,0.0,43.53448275862069
128,Electricity / Petrol,0.0,0.0,0.0,43.53448275862069
129,Electricity / Petrol,0.0,0.0,0.0,43.53448275862069
130,Electricity / Petrol,0.0,0.0,0.0,43.53448275862069
131,Petrol Electric,164.0,10.0,17.0,27.0
132,Petrol Electric,164.0,10.0,17.0,27.0
133,Petrol Electric,164.0,10.0,17.0,27.0
134,Petrol Electric,188.0,22.0,4.0,43.53448275862069
135,Electricity,0.0,0.0,0.0,0.0
136,Electricity,0.0,0.0,0.0,0.0
137,Electricity,0.0,0.0,0.0,0.0
138,Petrol,829.0,39.0,20.0,63.15181518151815
139,Petrol,829.0,39.0,20.0,63.15181518151815
140,Petrol,561.0,35.0,18.0,63.15181518151815
141,Petrol,493.0,26.0,18.0,63.15181518151815
142,Petrol,493.0,26.0,18.0,63.15181518151815
143,Petrol,561.0,35.0,18.0,63.15181518151815
144,Petrol,493.0,26.0,18.0,63.15181518151815
145,Petrol,493.0,35.0,18.0,63.15181518151815
146,Petrol,561.0,35.0,18.0,63.15181518151815
147,Petrol,561.0,35.0,18.0,63.15181518151815
148,Petrol,781.0,32.0,19.0,63.15181518151815
149,Petrol,781.0,32.0,19.0,63.15181518151815
150,Petrol,791.0,54.0,20.0,63.15181518151815
151,Petrol,791.0,54.0,20.0,63.15181518151815
152,Petrol,576.0,24.0,18.0,63.15181518151815
153,Petrol,576.0,24.0,16.0,63.15181518151815
154,Petrol,791.0,54.0,20.0,63.15181518151815
155,Petrol,791.0,54.0,20.0,63.15181518151815
156,Petrol,576.0,24.0,18.0,63.15181518151815
157,Petrol,576.0,24.0,18.0,63.15181518151815
158,Petrol,781.0,32.0,19.0,63.15181518151815
159,Petrol,781.0,32.0,19.0,63.15181518151815
160,Petrol,817.0,54.0,34.0,63.15181518151815
161,Diesel,32.0,22.856265356265357,34.0,43.0
162,Petrol,605.0,54.0,35.0,63.15181518151815
163,Petrol,605.0,54.0,25.0,63.15181518151815
164,Petrol,447.0,50.0,39.0,63.15181518151815
165,Petrol,447.0,50.0,39.0,63.15181518151815
166,Petrol,447.0,50.0,39.0,63.15181518151815
167,Petrol,447.0,50.0,39.0,63.15181518151815
168,Petrol,322.0,24.0,12.0,63.15181518151815
169,Petrol,322.0,24.0,12.0,63.15181518151815
170,Petrol,752.0,58.0,37.0,63.15181518151815
171,Petrol,752.0,58.0,37.0,63.15181518151815
172,Petrol,942.0,55.0,40.0,63.15181518151815
173,Petrol,942.0,55.0,40.0,63.15181518151815
174,Petrol,942.0,55.0,40.0,63.15181518151815
175,Petrol,942.0,55.0,40.0,63.15181518151815
176,Diesel,40.0,22.856265356265357,44.0,48.0
177,Diesel,40.0,22.856265356265357,44.0,48.0
178,Diesel,40.0,22.856265356265357,44.0,48.0
179,Diesel,40.0,22.856265356265357,44.0,48.0
180,Petrol,339.0,23.0,12.0,63.15181518151815
181,Petrol,155.0,24.0,14.0,63.15181518151815
182,Petrol,159.0,24.0,12.0,63.15181518151815
183,Petrol,617.0,29.0,17.0,63.15181518151815
184,Petrol,475.0,26.0,21.0,63.15181518151815
185,Petrol,491.0,24.0,20.0,63.15181518151815
186,Petrol,164.0,17.0,13.0,63.15181518151815
187,Petrol,244.0,28.0,16.0,63.15181518151815
188,Petrol,164.0,17.0,13.0,63.15181518151815
189,Petrol,503.0,56.0,31.0,63.15181518151815
190,Petrol,244.0,28.0,16.0,63.15181518151815
191,Petrol,132.0,25.0,22.0,63.15181518151815
192,Petrol,151.0,25.0,10.0,63.15181518151815
193,Petrol,261.0,29.0,40.0,63.15181518151815
194,Petrol,440.0,26.0,40.0,63.15181518151815
195,Petrol,191.0,22.0,23.0,63.15181518151815
196,Petrol,251.0,14.0,9.0,63.15181518151815
197,Petrol,202.0,28.0,21.0,63.15181518151815
198,Petrol,231.0,13.0,7.0,63.15181518151815
199,Petrol,255.0,14.0,7.0,63.15181518151815
200,Petrol,317.0,30.0,41.0,63.15181518151815
201,Petrol,392.0,20.0,25.0,63.15181518151815
202,Petrol,255.0,14.0,7.0,63.15181518151815
203,Petrol,734.0,68.0,58.0,63.15181518151815
204,Petrol,734.0,68.0,58.0,63.15181518151815
205,Petrol,570.0,49.0,41.0,63.15181518151815
206,Petrol,570.0,49.0,41.0,63.15181518151815
207,Petrol,597.0,28.0,55.0,63.15181518151815
208,Petrol,597.0,28.0,55.0,63.15181518151815
209,Petrol,820.0,61.0,49.0,63.15181518151815
210,Petrol,820.0,61.0,49.0,63.15181518151815
211,Diesel,89.0,22.856265356265357,29.0,39.0
212,Diesel,89.0,22.856265356265357,29.0,39.0
213,Diesel,248.0,22.856265356265357,51.0,63.0
214,Diesel,248.0,22.856265356265357,51.0,63.0
215,Petrol,734.0,68.0,58.0,63.15181518151815
216,Petrol,734.0,68.0,58.0,63.15181518151815
217,Petrol,570.0,49.0,41.0,63.15181518151815
218,Petrol,570.0,49.0,41.0,63.15181518151815
219,Diesel,248.0,22.856265356265357,51.0,63.0
220,Diesel,248.0,22.856265356265357,51.0,63.0
221,Diesel,89.0,22.856265356265357,29.0,39.0
222,Diesel,89.0,22.856265356265357,29.0,39.0
223,Petrol,734.0,68.0,58.0,63.15181518151815
224,Petrol,570.0,49.0,41.0,63.15181518151815
225,Petrol,570.0,49.0,41.0,63.15181518151815
226,Diesel,89.0,22.856265356265357,29.0,39.0
227,Diesel,89.0,22.856265356265357,29.0,39.0
228,Diesel,248.0,22.856265356265357,51.0,63.0
229,Diesel,248.0,22.856265356265357,51.0,63.0
230,Petrol,734.0,68.0,58.0,63.15181518151815
231,Petrol,734.0,68.0,58.0,63.15181518151815
232,Petrol,597.0,28.0,55.0,63.15181518151815
233,Petrol,597.0,28.0,55.0,63.15181518151815
234,Diesel,22.0,22.856265356265357,33.0,43.0
235,Diesel,22.0,22.856265356265357,33.0,43.0
236,Petrol,328.0,28.0,18.0,63.15181518151815
237,Petrol,328.0,28.0,18.0,63.15181518151815
238,Diesel,64.0,22.856265356265357,32.0,47.0
239,Diesel,64.0,22.856265356265357,32.0,47.0
240,Diesel,58.0,22.856265356265357,41.0,56.0
241,Diesel,58.0,22.856265356265357,41.0,56.0
242,Diesel,23.0,22.856265356265357,26.0,36.0
243,Diesel,23.0,22.856265356265357,26.0,36.0
244,Petrol,458.0,67.0,36.0,63.15181518151815
245,Petrol,458.0,67.0,36.0,63.15181518151815
246,Petrol,328.0,28.0,18.0,63.15181518151815
247,Petrol,328.0,28.0,18.0,63.15181518151815
248,Diesel,58.0,22.856265356265357,41.0,56.0
249,Diesel,58.0,22.856265356265357,41.0,56.0
250,Petrol,328.0,28.0,18.0,63.15181518151815
251,Petrol,328.0,28.0,18.0,63.15181518151815
252,Petrol,249.0,38.0,39.0,63.15181518151815
253,Petrol,249.0,38.0,39.0,63.15181518151815
254,Petrol,392.0,35.0,12.0,63.15181518151815
255,Petrol,392.0,35.0,12.0,63.15181518151815
256,Petrol,465.0,26.0,16.0,63.15181518151815
257,Petrol,465.0,26.0,16.0,63.15181518151815
258,Petrol,392.0,35.0,12.0,63.15181518151815
259,Petrol,392.0,35.0,12.0,63.15181518151815
260,Petrol,392.0,35.0,12.0,63.15181518151815
261,Petrol,392.0,35.0,12.0,63.15181518151815
262,Petrol,465.0,26.0,16.0,63.15181518151815
263,Petrol,465.0,26.0,16.0,63.15181518151815
264,Petrol,392.0,35.0,12.0,63.15181518151815
265,Petrol,392.0,35.0,12.0,63.15181518151815
266,Petrol,271.0,12.0,20.0,63.15181518151815
267,Petrol,271.0,12.0,20.0,63.15181518151815
268,Petrol,271.0,12.0,20.0,63.15181518151815
269,Petrol,271.0,12.0,20.0,63.15181518151815
270,Diesel,57.0,22.856265356265357,34.0,43.0
271,Diesel,57.0,22.856265356265357,34.0,43.0
272,Petrol,352.0,13.0,25.0,63.15181518151815
273,Petrol,352.0,13.0,25.0,63.15181518151815
274,Petrol,352.0,13.0,25.0,63.15181518151815
275,Petrol,352.0,13.0,25.0,63.15181518151815
276,Petrol,271.0,12.0,20.0,63.15181518151815
277,Petrol,271.0,12.0,20.0,63.15181518151815
278,Petrol,271.0,12.0,20.0,63.15181518151815
279,Petrol,271.0,12.0,20.0,63.15181518151815
280,Petrol,271.0,12.0,20.0,63.15181518151815
281,Petrol,271.0,12.0,20.0,63.15181518151815
282,Petrol,271.0,12.0,20.0,63.15181518151815
283,Petrol,271.0,12.0,20.0,63.15181518151815
284,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
285,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
286,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
287,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
288,Petrol,630.0,23.0,31.0,63.15181518151815
289,Petrol,630.0,23.0,31.0,63.15181518151815
290,Petrol,261.0,20.0,26.0,63.15181518151815
291,Petrol,261.0,20.0,26.0,63.15181518151815
292,Petrol,503.0,27.0,34.0,63.15181518151815
293,Petrol,503.0,27.0,34.0,63.15181518151815
294,Electricity,0.0,0.0,0.0,0.0
295,Electricity,0.0,0.0,0.0,0.0
296,Diesel,58.0,22.856265356265357,46.0,52.0
297,Diesel,58.0,22.856265356265357,46.0,52.0
298,Diesel,42.0,22.856265356265357,34.0,38.0
299,Diesel,42.0,22.856265356265357,34.0,38.0
300,Petrol,371.0,20.0,38.0,63.15181518151815
301,Petrol,371.0,20.0,38.0,63.15181518151815
302,Petrol,519.0,21.0,34.0,63.15181518151815
303,Petrol,519.0,21.0,34.0,63.15181518151815
304,Petrol,433.0,26.0,37.0,63.15181518151815
305,Petrol,433.0,26.0,37.0,63.15181518151815
306,Electricity / Petrol,401.0,14.0,13.0,63.15181518151815
307,Electricity / Petrol,401.0,14.0,13.0,63.15181518151815
308,Diesel,57.0,22.856265356265357,32.0,36.0
309,Diesel,57.0,22.856265356265357,32.0,36.0
310,Electricity / Petrol,460.0,15.0,16.0,63.15181518151815
311,Electricity / Petrol,460.0,15.0,16.0,63.15181518151815
312,Electricity / Petrol,588.0,18.0,24.0,63.15181518151815
313,Electricity / Petrol,588.0,18.0,24.0,63.15181518151815
314,Petrol,388.0,21.0,36.0,63.15181518151815
315,Petrol,388.0,21.0,36.0,63.15181518151815
316,Petrol,590.0,23.0,31.0,63.15181518151815
317,Petrol,590.0,23.0,31.0,63.15181518151815
318,Petrol,436.0,23.0,33.0,63.15181518151815
319,Petrol,436.0,23.0,33.0,63.15181518151815
320,Petrol,311.0,21.0,6.0,63.15181518151815
321,Petrol,311.0,21.0,25.0,63.15181518151815
322,Petrol,380.0,32.0,34.0,63.15181518151815
323,Petrol,277.0,22.0,31.0,63.15181518151815
324,Petrol,310.0,16.0,18.0,63.15181518151815
325,Petrol,808.0,25.0,27.0,63.15181518151815
326,Petrol,427.0,37.0,26.0,63.15181518151815
327,Petrol,336.0,26.0,19.0,63.15181518151815
328,Petrol,427.0,37.0,36.0,63.15181518151815
329,Petrol,427.0,37.0,26.0,63.15181518151815
330,Petrol,311.0,25.0,19.0,63.15181518151815
331,Petrol,393.0,21.0,14.0,63.15181518151815
332,Petrol,646.0,23.0,34.0,63.15181518151815
333,Petrol,646.0,23.0,34.0,63.15181518151815
334,Petrol,522.0,24.0,19.0,63.15181518151815
335,Petrol,522.0,24.0,19.0,63.15181518151815
336,Petrol,313.0,65.0,39.0,63.15181518151815
337,Petrol,313.0,65.0,39.0,63.15181518151815
338,Petrol,474.0,21.0,41.0,63.15181518151815
339,Petrol,474.0,21.0,41.0,63.15181518151815
340,Petrol,606.0,27.0,22.0,63.15181518151815
341,Petrol,606.0,27.0,22.0,63.15181518151815
342,Petrol,497.0,21.0,30.0,63.15181518151815
343,Petrol,497.0,21.0,30.0,63.15181518151815
344,Petrol,474.0,21.0,41.0,63.15181518151815
345,Petrol,474.0,21.0,41.0,63.15181518151815
346,Petrol,313.0,65.0,39.0,63.15181518151815
347,Petrol,313.0,65.0,39.0,63.15181518151815
348,Petrol,606.0,27.0,22.0,63.15181518151815
349,Petrol,606.0,27.0,22.0,63.15181518151815
350,Petrol,714.0,21.0,41.0,63.15181518151815
351,Petrol,474.0,21.0,41.0,63.15181518151815
352,Petrol,474.0,21.0,41.0,63.15181518151815
353,Petrol,474.0,21.0,41.0,63.15181518151815
354,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
355,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
356,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
357,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
358,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
359,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
360,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
361,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
362,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
363,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
364,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
365,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
366,Electricity,0.0,22.856265356265357,30.473094170403588,63.15181518151815
367,Petrol,873.0,54.0,26.0,63.15181518151815
368,Petrol,873.0,54.0,26.0,63.15181518151815
369,Petrol,873.0,54.0,26.0,63.15181518151815
370,Petrol,873.0,54.0,26.0,63.15181518151815
371,Petrol,926.0,64.0,27.0,63.15181518151815
372,Petrol,926.0,64.0,27.0,63.15181518151815
373,Petrol,873.0,54.0,26.0,63.15181518151815
374,Petrol,873.0,54.0,26.0,63.15181518151815
375,Petrol,926.0,64.0,27.0,63.15181518151815
376,Petrol,926.0,64.0,27.0,63.15181518151815
377,Petrol,926.0,64.0,27.0,63.15181518151815
378,Petrol,926.0,64.0,27.0,63.15181518151815
379,Petrol,873.0,54.0,26.0,63.15181518151815
380,Petrol,873.0,54.0,26.0,63.15181518151815
381,Petrol,926.0,64.0,27.0,63.15181518151815
382,Petrol,926.0,64.0,27.0,63.15181518151815
383,Petrol,873.0,54.0,26.0,63.15181518151815
384,Petrol,873.0,54.0,26.0,63.15181518151815
385,Petrol,369.0,22.0,35.0,63.15181518151815
386,Petrol,369.0,22.0,35.0,63.15181518151815
387,Petrol,437.0,23.0,25.0,63.15181518151815
388,Petrol,437.0,23.0,25.0,63.15181518151815
389,Petrol,201.0,24.0,13.0,63.15181518151815
390,Petrol,201.0,24.0,13.0,63.15181518151815
391,Petrol,423.0,23.0,16.0,63.15181518151815
392,Petrol,423.0,23.0,16.0,63.15181518151815
393,Petrol,291.0,33.0,12.0,63.15181518151815
394,Petrol,291.0,33.0,12.0,63.15181518151815
395,Petrol,437.0,23.0,25.0,63.15181518151815
396,Petrol,437.0,23.0,25.0,63.15181518151815
397,Petrol,423.0,23.0,16.0,63.15181518151815
398,Petrol,423.0,23.0,16.0,63.15181518151815
399,Petrol,201.0,24.0,13.0,63.15181518151815
400,Petrol,201.0,24.0,13.0,63.15181518151815
401,Petrol,291.0,33.0,12.0,63.15181518151815
402,Petrol,291.0,33.0,12.0,63.15181518151815
403,Petrol,423.0,23.0,16.0,63.15181518151815
404,Petrol,423.0,23.0,16.0,63.15181518151815
405,Petrol,291.0,33.0,12.0,63.15181518151815
406,Petrol,291.0,33.0,12.0,63.15181518151815
407,Petrol,437.0,23.0,25.0,63.15181518151815
408,Petrol,437.0,23.0,25.0,63.15181518151815
409,Petrol,201.0,24.0,13.0,63.15181518151815
410,Petrol,201.0,24.0,13.0,63.15181518151815
411,Petrol,423.0,23.0,16.0,63.15181518151815
412,Petrol,423.0,23.0,16.0,63.15181518151815
413,Petrol,437.0,23.0,25.0,63.15181518151815
414,Petrol,437.0,23.0,25.0,63.15181518151815
415,Petrol,423.0,23.0,16.0,63.15181518151815
416,Petrol,423.0,23.0,16.0,63.15181518151815
417,Petrol,201.0,24.0,13.0,63.15181518151815
418,Petrol,201.0,24.0,13.0,63.15181518151815
419,Petrol,291.0,33.0,12.0,63.15181518151815
420,Petrol,291.0,33.0,12.0,63.15181518151815
421,Petrol,621.0,47.0,30.0,63.15181518151815
422,Petrol,313.0,65.0,39.0,63.15181518151815
423,Petrol,313.0,65.0,39.0,63.15181518151815
424,Petrol Electric,792.0,28.0,22.0,63.15181518151815
425,Petrol Electric,792.0,28.0,22.0,63.15181518151815
426,Petrol Electric,792.0,28.0,22.0,63.15181518151815
427,Petrol Electric,792.0,28.0,22.0,63.15181518151815
428,Petrol,313.0,65.0,39.0,63.15181518151815
429,Petrol,313.0,65.0,39.0,63.15181518151815
430,Petrol,706.0,30.0,28.0,63.15181518151815
431,Petrol,706.0,30.0,28.0,63.15181518151815
432,Petrol,313.0,65.0,39.0,63.15181518151815
433,Petrol,313.0,65.0,39.0,63.15181518151815
434,Petrol,437.0,62.0,46.0,63.15181518151815
435,Petrol,437.0,62.0,46.0,63.15181518151815
436,Petrol,706.0,30.0,28.0,63.15181518151815
437,Petrol,706.0,30.0,28.0,63.15181518151815
438,Petrol,621.0,47.0,30.0,63.15181518151815
439,Petrol,873.0,54.0,26.0,63.15181518151815
440,Petrol,873.0,54.0,26.0,63.15181518151815
441,Petrol,873.0,54.0,26.0,63.15181518151815
442,Petrol,873.0,54.0,26.0,63.15181518151815
443,Petrol,873.0,54.0,26.0,63.15181518151815
444,Petrol,873.0,54.0,26.0,63.15181518151815
445,Diesel,92.0,22.856265356265357,44.0,51.0
446,Diesel,92.0,22.856265356265357,44.0,51.0
447,Petrol,649.0,42.0,23.0,63.15181518151815
448,Petrol,649.0,42.0,23.0,63.15181518151815
449,Petrol,873.0,54.0,26.0,63.15181518151815
450,Diesel,92.0,22.856265356265357,44.0,51.0
451,Diesel,92.0,22.856265356265357,44.0,51.0
452,Petrol,873.0,54.0,26.0,63.15181518151815
453,Petrol,873.0,54.0,26.0,63.15181518151815
454,Petrol,873.0,54.0,26.0,63.15181518151815
455,Petrol,873.0,54.0,26.0,63.15181518151815
456,Petrol,749.0,40.0,19.0,63.15181518151815
457,Petrol,749.0,40.0,19.0,63.15181518151815
458,Petrol,749.0,40.0,19.0,63.15181518151815
459,Petrol,749.0,40.0,19.0,63.15181518151815
460,Petrol,749.0,40.0,19.0,63.15181518151815
461,Petrol,749.0,40.0,19.0,63.15181518151815
462,Petrol,749.0,40.0,19.0,63.15181518151815
463,Petrol,749.0,40.0,19.0,63.15181518151815
464,Petrol,873.0,54.0,26.0,63.15181518151815
465,Petrol,873.0,54.0,26.0,63.15181518151815
466,Petrol,873.0,54.0,26.0,63.15181518151815
467,Petrol,873.0,54.0,26.0,63.15181518151815
468,Petrol,749.0,40.0,19.0,63.15181518151815
469,Petrol,482.0,17.0,19.0,63.15181518151815
470,Petrol,482.0,17.0,19.0,63.15181518151815
471,Petrol,575.0,19.0,7.0,63.15181518151815
472,Petrol,575.0,19.0,7.0,63.15181518151815
473,Petrol,659.0,20.0,5.0,0.0
474,Petrol,659.0,20.0,5.0,0.0
475,Petrol,659.0,20.0,5.0,0.0
476,Petrol Electric,205.0,11.0,10.0,63.15181518151815
477,Petrol Electric,205.0,11.0,10.0,63.15181518151815
478,Petrol Electric,205.0,11.0,10.0,63.15181518151815
479,Petrol Electric,205.0,11.0,10.0,63.15181518151815
480,Petrol,698.0,47.0,39.0,63.15181518151815
481,Petrol,893.0,42.0,17.0,63.15181518151815
482,Petrol,276.0,13.0,27.0,63.15181518151815
483,Petrol,813.0,26.0,8.0,63.15181518151815
484,Petrol,243.0,12.0,30.0,63.15181518151815
485,Petrol,712.0,23.0,11.0,63.15181518151815
486,Petrol,187.0,13.0,17.0,63.15181518151815
487,Petrol,238.0,15.0,19.0,63.15181518151815
488,Electricity / Petrol,414.0,27.0,39.0,63.15181518151815
489,Petrol,258.0,21.0,12.0,63.15181518151815
490,Petrol,258.0,21.0,12.0,63.15181518151815
491,Petrol,258.0,21.0,12.0,63.15181518151815
492,Diesel,54.0,22.856265356265357,9.0,55.0
493,Diesel,54.0,22.856265356265357,9.0,55.0
494,Diesel,54.0,22.856265356265357,9.0,55.0
495,Diesel,66.0,22.856265356265357,10.0,53.0
496,Diesel,66.0,22.856265356265357,10.0,53.0
497,Diesel,66.0,22.856265356265357,10.0,53.0
498,Petrol,134.0,15.0,17.0,63.15181518151815
499,Petrol,134.0,15.0,17.0,63.15181518151815
500,Diesel,48.0,22.856265356265357,28.0,47.0
501,Diesel,48.0,22.856265356265357,28.0,47.0
