,count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,easting,northing,latitude,longitude,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
2410,26404,N,2000,03/05/2000,11,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,7,10,590,58,165,29,4,7,2,2,3,47,870
2409,26404,N,2000,03/05/2000,10,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,5,8,639,59,162,35,4,11,1,0,0,51,919
2420,36132,W,2000,17/03/2000,15,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,1,24,960,16,216,59,2,3,5,6,2,77,1293
2408,26404,N,2000,03/05/2000,9,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,19,24,866,76,156,40,5,5,3,5,0,58,1180
2406,26404,N,2000,03/05/2000,7,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,23,26,1018,49,222,17,4,11,0,1,0,33,1348
2405,26404,N,2000,03/05/2000,18,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,11,9,624,41,77,2,0,1,1,1,1,6,757
2404,26404,N,2000,03/05/2000,17,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,21,24,858,61,92,7,2,0,0,0,0,9,1044
2403,26404,N,2000,03/05/2000,16,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,10,12,773,61,135,11,5,2,0,1,0,19,1000
2402,26404,N,2000,03/05/2000,15,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,10,15,618,56,142,23,0,8,0,4,2,37,868
2401,26404,N,2000,03/05/2000,14,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,6,11,648,54,141,23,2,9,4,1,1,40,894
2400,26404,N,2000,03/05/2000,13,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,11,16,653,60,153,34,2,8,3,4,1,52,934
2399,26404,S,2000,03/05/2000,12,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,6,7,444,48,108,17,3,3,0,0,1,24,631
2398,26404,S,2000,03/05/2000,11,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,6,2,374,50,115,18,0,1,0,0,1,20,561
2397,26404,S,2000,03/05/2000,10,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,2,5,336,55,84,9,1,1,0,0,0,11,491
2396,26404,S,2000,03/05/2000,9,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,5,3,393,58,103,6,3,3,0,1,2,15,572
2407,26404,N,2000,03/05/2000,8,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,25,34,957,55,139,25,2,6,1,1,1,36,1221
2421,36132,W,2000,17/03/2000,16,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,1,26,994,21,195,40,3,2,3,11,1,60,1296
2422,36132,W,2000,17/03/2000,17,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,4,15,1027,17,153,30,2,2,3,5,2,44,1256
2423,36132,W,2000,17/03/2000,18,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,3,17,1077,15,84,25,1,1,3,6,6,42,1235
2580,7046,S,2000,02/10/2000,7,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,1,7,199,3,53,45,10,9,5,20,19,108,370
2579,7046,S,2000,02/10/2000,18,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,2,9,284,0,58,20,6,1,1,28,5,61,412
2578,7046,S,2000,02/10/2000,17,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,5,10,462,3,85,29,5,0,4,25,9,72,632
2577,7046,S,2000,02/10/2000,16,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,9,13,379,3,101,34,10,9,4,23,15,95,591
2576,7046,S,2000,02/10/2000,15,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,1,6,206,1,104,39,9,12,9,34,19,122,439
2575,7046,S,2000,02/10/2000,14,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,1,3,204,1,96,56,6,7,6,37,11,123,427
2574,7046,S,2000,02/10/2000,13,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,1,6,224,1,79,35,5,7,6,36,16,105,415
2573,7046,N,2000,02/10/2000,12,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,1,2,136,1,122,51,10,9,3,26,21,120,381
2572,7046,N,2000,02/10/2000,11,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,0,2,147,1,120,51,21,11,9,33,23,148,418
2571,7046,N,2000,02/10/2000,10,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,0,2,138,0,103,39,7,11,6,23,21,107,350
2570,7046,N,2000,02/10/2000,9,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,0,0,150,1,111,47,9,11,5,28,13,113,375
2569,7046,N,2000,02/10/2000,8,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,2,5,339,1,113,39,21,20,4,23,21,128,586
2568,7046,N,2000,02/10/2000,7,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,9,15,573,2,116,31,11,13,3,19,15,92,798
2435,36132,E,2000,17/03/2000,18,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,3,38,1117,14,88,17,0,0,1,1,1,20,1277
2434,36132,E,2000,17/03/2000,17,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,12,52,1237,13,101,27,3,0,0,1,3,34,1437
2433,36132,E,2000,17/03/2000,16,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,14,38,1016,20,115,48,5,0,3,3,1,60,1249
2432,36132,E,2000,17/03/2000,15,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,6,23,1025,21,179,55,5,1,1,3,5,70,1318
2431,36132,E,2000,17/03/2000,14,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,3,12,932,25,207,56,6,0,7,9,2,80,1256
2430,36132,E,2000,17/03/2000,13,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,9,30,1014,16,169,59,2,1,5,9,6,82,1311
2429,36132,W,2000,17/03/2000,12,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,2,17,983,12,208,57,3,3,5,13,6,87,1307
2428,36132,W,2000,17/03/2000,11,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,1,13,903,16,205,70,5,7,5,12,3,102,1239
2427,36132,W,2000,17/03/2000,10,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,3,5,929,16,177,48,8,1,9,8,3,77,1204
2426,36132,W,2000,17/03/2000,9,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,2,18,1043,22,211,47,2,4,8,8,6,75,1369
2425,36132,W,2000,17/03/2000,8,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,13,54,1431,13,159,49,5,2,6,11,3,76,1733
2424,36132,W,2000,17/03/2000,7,1,South West,144,"Bristol, City of",A4,Major,363100,170000,51.42779756,-2.53214001,15,58,1517,13,211,32,3,2,4,4,6,51,1850
2395,26404,S,2000,03/05/2000,8,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,7,10,500,49,80,11,0,1,2,0,0,14,653
2581,7046,S,2000,02/10/2000,8,1,South West,144,"Bristol, City of",A403,Major,352000,180000,51.51687229,-2.69314733,1,6,241,4,108,57,12,16,12,34,30,161,520
2394,26404,S,2000,03/05/2000,7,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,14,12,377,42,100,5,2,0,3,0,0,10,541
2392,26404,S,2000,03/05/2000,17,1,South West,144,"Bristol, City of",A38,Major,359050,172200,51.44729892,-2.59064514,30,32,1020,63,107,11,0,0,0,0,0,11,1233
1811,26043,N,2000,10/04/2000,18,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,38,2719,8,158,28,2,4,10,13,7,64,2987
1810,26043,N,2000,10/04/2000,17,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,76,3147,28,194,34,1,2,5,19,9,70,3515
1809,26043,N,2000,10/04/2000,16,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,47,2873,29,338,70,6,3,14,28,15,136,3423
1808,26043,N,2000,10/04/2000,15,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,19,2003,26,262,95,12,11,11,21,18,168,2478
1807,26043,N,2000,10/04/2000,14,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,24,1736,20,226,100,13,8,12,35,23,191,2197
1806,26043,N,2000,10/04/2000,13,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,28,1802,11,310,95,12,13,17,26,18,181,2332
1805,26043,S,2000,10/04/2000,12,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,25,1631,14,306,98,13,12,15,36,23,197,2173
1804,26043,S,2000,10/04/2000,11,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,29,1582,20,340,97,14,16,16,37,14,194,2165
1803,26043,S,2000,10/04/2000,10,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,14,1714,14,338,102,17,12,18,35,21,205,2285
1802,26043,S,2000,10/04/2000,9,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,29,2242,21,308,114,18,15,12,34,13,206,2806
1801,26043,S,2000,10/04/2000,8,1,South West,144,"Bristol, City of",M32,Major,362200,177000,51.49067589,-2.54583511,0,84,3279,19,305,70,11,7,8,26,12,134,3821
