,count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,easting,northing,latitude,longitude,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
22128,952443,N,2007,02/07/2007,7,1,South West,144,"Bristol, City of",U,Minor,362692,175983,51.48156473,-2.53864124,7,6,336,4,32,0,0,0,0,0,0,0,378
22127,968105,N,2007,21/09/2007,18,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,4,3,409,5,26,2,0,0,0,0,0,2,445
22126,968105,N,2007,21/09/2007,17,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,4,8,521,2,47,4,1,1,0,0,0,6,584
22125,968105,N,2007,21/09/2007,16,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,6,14,476,3,46,4,1,1,0,0,0,6,545
22124,968105,N,2007,21/09/2007,15,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,2,5,385,1,68,10,2,0,0,0,0,12,471
22123,968105,N,2007,21/09/2007,14,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,2,4,320,0,64,8,3,3,0,1,0,15,403
22122,968105,N,2007,21/09/2007,13,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,1,9,256,0,59,11,0,5,0,1,0,17,341
22121,968105,S,2007,21/09/2007,12,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,3,0,32,0,13,1,0,0,0,0,0,1,46
22120,968105,S,2007,21/09/2007,11,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,2,1,41,0,14,0,0,0,0,0,0,0,56
22119,968105,S,2007,21/09/2007,10,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,3,0,37,0,5,1,0,0,0,0,0,1,43
22118,968105,S,2007,21/09/2007,9,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,1,0,23,1,7,1,0,1,0,0,0,2,33
22117,968105,S,2007,21/09/2007,8,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,3,0,40,0,5,5,0,0,0,0,0,5,50
22116,968105,S,2007,21/09/2007,7,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,1,0,27,1,11,2,0,0,0,0,0,2,41
